Length,0
133,28
136,27
141,27
130,25
127,23
135,22
124,22
134,21
125,21
129,20
122,17
132,17
123,16
117,16
139,15
138,14
126,14
128,14
131,13
98,13
119,12
112,12
116,11
115,11
143,11
118,10
142,10
150,10
111,9
120,9
121,9
89,8
113,8
140,8
137,8
103,7
106,7
96,7
107,6
114,6
148,6
110,6
101,5
92,5
99,5
146,5
70,5
108,4
154,4
151,4
36,4
109,4
84,4
95,4
104,4
97,4
73,4
100,3
34,3
64,3
105,3
83,3
85,3
76,3
81,3
93,3
75,3
91,3
86,2
79,2
88,2
38,2
39,2
149,2
44,2
69,2
72,2
145,2
66,2
68,2
144,2
67,2
74,2
90,2
62,2
59,2
58,2
147,2
153,1
155,1
156,1
157,1
169,1
171,1
4,1
102,1
13,1
18,1
20,1
21,1
22,1
23,1
27,1
29,1
31,1
35,1
41,1
47,1
48,1
50,1
53,1
56,1
60,1
61,1
63,1
65,1
78,1
80,1
82,1
87,1
185,1
